
running 1 test
118 0.018620562 0.002188854 0.000246952
161 0.050531245 0.005553335 0.000893130
102 0.010450787 0.001575096 0.000167393
245 0.182907565 0.014356319 0.002161217
123 0.020845261 0.002845455 0.000373498
78 0.005199746 0.000868983 0.000085089
235 0.155878237 0.010597849 0.001987825
185 0.078599427 0.006717162 0.001342649
181 0.071985227 0.007325738 0.001211471
182 0.078318283 0.008317850 0.001212803
105 0.016296856 0.001680813 0.000181476
171 0.061897006 0.005093456 0.000771254
71 0.003837924 0.000728986 0.000071468
155 0.042491829 0.003964907 0.000611227
36 0.000706036 0.000199384 0.000022641
85 0.006332387 0.001059156 0.000110433
22 0.000118367 0.000067047 0.000006899
154 0.041424487 0.005936666 0.000673128
166 0.060540134 0.006685128 0.000764688
243 0.167215131 0.011690152 0.003076778
165 0.055253242 0.006040118 0.000818033
52 0.001759019 0.000340823 0.000031647
80 0.004984730 0.000972736 0.000108866
210 0.106385583 0.008080586 0.001382946
6 0.000006076 0.000003194 0.000001345
28 0.000229980 0.000084739 0.000010110
254 0.199575574 0.017542146 0.003142050
182 0.073859835 0.007264831 0.001224391
55 0.002169566 0.000389387 0.000033452
28 0.000235721 0.000086568 0.000009345
251 0.206649166 0.015884235 0.003259397
195 0.088960533 0.008473477 0.001710219
135 0.029961251 0.004724548 0.000547877
187 0.077601625 0.008079966 0.001384779
78 0.007257521 0.001112118 0.000142659
197 0.096226028 0.007567676 0.001375827
16 0.000052413 0.000026393 0.000005417
64 0.002562630 0.000552954 0.000057172
144 0.031436284 0.003543306 0.000461585
110 0.013689480 0.001807882 0.000193152
7 0.000007315 0.000004451 0.000001564
245 0.172106196 0.017556253 0.003067534
234 0.159829019 0.012639418 0.002180420
55 0.001653702 0.000391876 0.000031362
247 0.187016771 0.014589528 0.003541511
150 0.041210075 0.003906036 0.000451009
236 0.154591221 0.013711300 0.002072804
76 0.006327028 0.001204511 0.000090154
136 0.029302436 0.004605765 0.000546333
118 0.018850106 0.002191884 0.000247997
228 0.146921446 0.010374513 0.001761771
213 0.113209750 0.008677469 0.001321872
128 0.026621853 0.004211156 0.000448570
22 0.000239096 0.000086981 0.000012614
36 0.000948051 0.000251756 0.000024448
221 0.126409067 0.009747248 0.002838385
72 0.004304548 0.000733499 0.000083945
116 0.019241074 0.002306163 0.000249338
44 0.001443673 0.000410873 0.000036262
76 0.007938906 0.001234102 0.000136834
206 0.105539252 0.009703792 0.001203214
102 0.013586968 0.002619531 0.000259277
33 0.000745563 0.000213332 0.000022257
159 0.054216984 0.006429058 0.000652111
113 0.017620802 0.002014185 0.000289573
21 0.000131222 0.000045464 0.000005630
251 0.202423684 0.015603144 0.003835353
162 0.047639564 0.004862709 0.000646410
113 0.018299431 0.001985825 0.000205813
89 0.008686165 0.001621745 0.000132916
11 0.000034475 0.000017031 0.000004178
217 0.122174717 0.012085390 0.002318404
205 0.099024488 0.010943646 0.001727357
105 0.016417353 0.002328073 0.000219595
197 0.092125889 0.007290955 0.001198198
88 0.008241822 0.001646097 0.000157731
252 0.188833544 0.013746236 0.003444513
242 0.165364089 0.014767949 0.002222640
112 0.022097994 0.003200306 0.000211121
218 0.134003403 0.010899647 0.002423665
243 0.185657661 0.014707711 0.002408802
48 0.001106657 0.000291502 0.000024462
171 0.062400536 0.005202668 0.000956129
90 0.010097599 0.001204823 0.000109457
50 0.001419369 0.000320948 0.000030625
40 0.000650733 0.000187100 0.000016239
21 0.000107022 0.000045743 0.000006393
3 0.000001453 0.000000814 0.000000596
43 0.001372375 0.000283102 0.000021161
90 0.009584774 0.001219137 0.000138983
17 0.000060908 0.000029594 0.000005402
37 0.000526034 0.000169929 0.000016276
233 0.145095756 0.012777995 0.002692902
166 0.056318468 0.005741071 0.000784286
155 0.043890042 0.006134288 0.000794671
17 0.000086415 0.000045556 0.000009615
248 0.185343041 0.014595110 0.002378245
105 0.011820919 0.001906838 0.000180460
195 0.085235332 0.008753409 0.001654324
54 0.002875037 0.000579150 0.000045664
234 0.149556559 0.013289694 0.002353852
35 0.000601682 0.000147807 0.000015567
58 0.002019449 0.000454897 0.000042762
197 0.094040145 0.007163483 0.001285568
9 0.000022453 0.000012254 0.000003640
238 0.165378316 0.014271244 0.002279253
230 0.135308189 0.010462446 0.002058064
211 0.121626864 0.011833576 0.002217402
